HSCode,Commodity,Value,Date
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,24.98,12/1/2012
54,MAN-MADE FILAMENTS.,156.94,12/1/2012
55,MAN-MADE STAPLE FIBRES.,151.29,12/1/2012
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",27.91,12/1/2012
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,131.75,12/1/2012
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,26.84,12/1/2012
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",15.18,12/1/2012
60,KNITTED OR CROCHETED FABRICS.,20.11,12/1/2012
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",472.67,12/1/2012
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",590.67,12/1/2012
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,343.75,12/1/2012
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",184.63,12/1/2012
65,HEADGEAR AND PARTS THEREOF.,2.7,12/1/2012
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.07,12/1/2012
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,24.36,12/1/2012
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",96.12,12/1/2012
69,CERAMIC PRODUCTS.,42.25,12/1/2012
70,GLASS AND GLASSWARE.,46.13,12/1/2012
