HSCode,Commodity,Value,Date
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.","1,181.07",1/1/2007
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",14.98,1/1/2007
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",101.82,1/1/2007
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",556.22,1/1/2007
89,"SHIPS, BOATS AND FLOATING STRUCTURES.",238.69,1/1/2007
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",228.57,1/1/2007
91,CLOCKS AND WATCHES AND PARTS THEREOF.,8.08,1/1/2007
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,1.09,1/1/2007
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.36,1/1/2007
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",36.61,1/1/2007
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",11.55,1/1/2007
96,MISCELLANEOUS MANUFACTURED ARTICLES.,14.81,1/1/2007
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,2.18,1/1/2007
98,PROJECT GOODS; SOME SPECIAL USES.,167.65,1/1/2007
99,MISCELLANEOUS GOODS.,16.42,1/1/2007
1,LIVE ANIMALS.,0.42,2/1/2007
2,MEAT AND EDIBLE MEAT OFFAL.,0.01,2/1/2007
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1.15,2/1/2007
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",1.14,2/1/2007
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",1,2/1/2007
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.52,2/1/2007
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,74,2/1/2007
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,56.79,2/1/2007
9,"COFFEE, TEA, MATE AND SPICES.",12.42,2/1/2007
10,CEREALS.,66.72,2/1/2007
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.86,2/1/2007
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",9.22,2/1/2007
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",4.46,2/1/2007
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.28,2/1/2007
