Date,HSCode,Commodity_x,Import_Value,Commodity_y,Export_Value
2007-01-01,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.22,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.0
2007-01-01,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,100.36,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,11.26
2007-01-01,45,CORK AND ARTICLES OF CORK.,0.39,CORK AND ARTICLES OF CORK.,0.04
2007-01-01,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.05,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.31
2007-01-01,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,51.28,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,0.05
2007-01-01,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",86.89,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",34.0
2007-01-01,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",48.91,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",35.32
2007-01-01,50,SILK,27.95,SILK,34.29
2007-01-01,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",22.54,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",5.73
2007-01-01,52,COTTON.,41.31,COTTON.,487.76
2007-01-01,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,8.2,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,9.79
